HORIZONTE,A1,AC,C
Profundidad de la muestra (cm),0-21,21-43,43 a +
Materia Orgánica (%),"1,26","0,86", 
Carbono Orgánico (%),"0,73","0,50", 
Nitrógeno total (%),85,54, 
Relación C/N,"8,6","9,2", 
"Arcilla, 2 u (%)","6,9","6,5","5,7"
"Limo, 2-50 u (%)","16,5","15,3","16,1"
"Arena muy fina, 50-100 u (%)","36,3","40,8","40,6"
"Arena fina, 100-250 u (%)","37,4","34,5","35,3"
"Arena media, 250-500 u (%)","1,9","1,1","1,0"
"Arena gruesa, 500-1000 u (%)","3,0","1,5","1,4"
"Arena muy gruesa, 1-2 mm (%)","0,0","0,0","0,0"
"Calcáreo, CaCO3 (%)","0,0","0,0","0,0"
Equivalente de humedad (%),"8,8","7,8","7,1"
pH en pasta,"5,5","6,2","7,0"
"pH en agua 1:2,5","5,7","6,3","7,2"
Cationes de intercambio (me/100 gr): Ca ++,"4,7","5,9","5,6"
Cationes de intercambio (me/100 gr): Mg ++,"0,7","0,2","0,7"
Cationes de intercambio (me/100 gr): Na +,"0,2","0,2","0,1"
Cationes de intercambio (me/100 gr): K +,"1,6","1,3","0,6"
Cationes de intercambio (me/100 gr): H +,"1,4","0,7","0,4"
"Suma de bases, me/100 gr (S)","7,2","7,6","6,8"
Capacidad de intercambio catiónica me/100 gr (T),"8,8","8,2","7,2"
"Saturación con bases, % (S/T)",82,93,94
