HORIZONTE,A1,B,C1,C2ca
Profundidad de la muestra (cm),0-24,24-57,57-95,95 a +
Materia Orgánica (%),"1,94","0,62", , 
Carbono Orgánico (%),"1,12","0,36", , 
Nitrógeno total (%),116,57, , 
Relación C/N,"9,6","6,3", , 
"Arcilla, 2 u (%)","10,6","11,8","7,9","6,5"
"Limo, 2-50 u (%)","27,7","24,1","24,1","23,3"
"Arena muy fina, 50-100 u (%)","28,2","24,5","30,5","29,6"
"Arena fina, 100-250 u (%)","27,9","35,8","32,5","34,0"
"Arena media, 250-500 u (%)","2,8","1,8","1,4","3,6"
"Arena gruesa, 500-1000 u (%)","2,4","2,5","2,9","2,1"
"Arena muy gruesa., 1-2 mm (%)","0,1", , , 
"Calcáreo, CaCO3 (%)","2,2", , , 
Equivalente de humedad (%),"13,8","12,0","9,3","9,7"
pH en pasta,"6,3","6,5","7,0","7,6"
"pH en agua 1:2,5","6,5","6,7","7,2","7,9"
Cationes de intercambio (me/100 gr): Ca ++,"5,8","6,5","6,3", 
Cationes de intercambio (me/100 gr): Mg ++,"0,7","0,7","1,1", 
Cationes de intercambio (me/100 gr): Na +,"0,3","0,2","0,2","0,3"
Cationes de intercambio (me/100 gr): K +,"2,9","1,3","0,7","1,3"
Cationes de intercambio (me/100 gr): H +,"1,1","0,7","0,4", 
"Suma de bases, me/100 gr (S)","9,7","8,7","8,3", 
Capacidad de intercambio catiónico me/100 gr (T),"10,0","9,5","8,7","7,4"
"Saturación con bases, % (S/T)",88,91,95, 
