HORIZONTE,A21,A22,B2t,B3,C
Profundidad de la muestra (cm),0-15,15-40,40-60,60-86,86 a +
Materia Orgánica (%),"1,60","0,26","0,30","0,19", 
Carbono Orgánico (%),"0,93","0,15","0,18","0,11", 
Nitrógeno total (%),87,32,40, , 
Relación C/N,"10,7","4,7","4,5", , 
"Arcilla, 2 u (%)","6,9","7,2","21,8","14,1","10,8"
"Limo, 2-50 u (%)","21,3","30,2","24,0","26,7","26,1"
"Arena muy fina, 50-100 u (%)","42,3","42,3","35,9","39,7","44,8"
"Arena fina, 100-250 u (%)","27,3","17,4","16,2","18,8","18,1"
"Arena media, 250-500 u (%)","1,0","1,2","0,9","0,9","1,0"
"Arena gruesa, 500-1000 u (%)","0,7","0,5","0,7","0,6","0,6"
"Arena muy gruesa, 1-2 mm (%)","0,1","0,2","0,0","0,0","0,0"
"Calcáreo, CaCO3 (%)","0,0","0,0","2,07","1,13","1,21"
Equivalente de humedad (%),"11,3","13,7","26,5","21,0","16,1"
Ph en pasta,"5,5","7,5","8,9","9,3","9,3"
"PH en agua 1:2,5","5,7","7,9","9,3","9,5","9,5"
Cationes de intercambio (me/100 gr): Ca ++,"4,7","4,3", , , 
Cationes de intercambio (me/100 gr): Mg ++,"0,6","0,5", , , 
Cationes de intercambio (me/100 gr): Na +,"0,3","0,2","12,7","12,7","11,3"
Cationes de intercambio (me/100 gr): K +,"1,5","1,9","2,4","2,1","1,9"
Cationes de intercambio (me/100 gr): H +,"1,3", , , , 
"Na+, % del valor T", , ,"64,46","76,96","91,86"
"Suma de bases, me/100 gr (S)","7,2","8,8", , , 
Capacidad de intercambio catiónico me/100 gr (T),"8,5","8,8","19,7","16,5","12,3"
"Saturación con bases, % (S/T)",85,100, , , 
